,color,rgb
929,violet,#9a0eea
930,light purple,#bf77f6
931,lime green,#89fe05
932,grey,#929591
933,sky blue,#75bbfd
934,yellow,#ffff14
935,magenta,#c20078
936,light green,#96f97b
937,orange,#f97306
938,teal,#029386
939,light blue,#95d0fc
940,red,#e50000
941,brown,#653700
942,pink,#ff81c0
943,blue,#0343df
944,green,#15b01a
945,purple,#7e1e9c
946,blank,white
947,blanch,white
948,paper white,white
949,candid,white
950,whitish,white
951,whitelike,white
952,albid,white
953,incandent,white
954,all white,white
955,dead white,ghostwhite
956,snow white,snow
957,snowish,snow
958,snowy,snow
959,nixious,snow
960,snow like,snow
961,snow,snow
962,milk white,white
963,milkish,white
964,milky,white
965,milk,white
966,milken,white
967,lacteal,white
968,lacteous,white
969,lactaceous,white
970,lactean,white
971,lactescent,white
972,bone,ivory
973,ivory white,ivory
974,eburnean,ivory
975,eburnine,ivory
976,bone white,ivory
977,ivorine,ivory
978,ivoried,ivory
979,bone coloured,ivory
980,lily white,floralwhite
981,lily,floralwhite
982,lily whited,floralwhite
983,lily wristed,floralwhite
984,lily like,floralwhite
985,lily coloured,floralwhite
986,chalk white,white
987,chalky,white
988,chalkish,white
989,ermine,white
990,ermined,white
991,marble,white
992,alabaster,white
993,alabastrine,white
994,marmorean,white
995,marbly,white
996,marmoreal,white
997,pearly,seashell
998,swan white,white
999,ice white,white
1000,pearl white,seashell
1001,lint white,white
1002,wool white,white
1003,fish belly,white
1004,wax white,white
1005,cottonary,white
1006,cottonous,white
1007,cottony,white
1008,sheep hued,oldlace
1009,natural coloured,oldlace
1010,oysterous,whitesmoke
1011,oyster,whitesmoke
1012,silverish,silver
1013,argentine,silver
1014,argent,silver
1015,silver coloured,silver
1016,silver white,silver
1017,silver like,silver
1018,silvery,silver
1019,argenteous,silver
1020,silvern,silver
1021,flatten,aliceblue
1022,fleeten,aliceblue
1023,blue white,aliceblue
1024,blush white,misty rose
1025,cream coloured,ivory
1026,creamy,ivory
1027,blok,black
1028,neger,black
1029,sable,black
1030,black coloured,black
1031,sable coloured,black
1032,ebon,black
1033,ethiop,black
1034,torrid,black
1035,atred,black
1036,pullous,black
1037,nigricant,black
1038,nigrific,black
1039,negro,black
1040,nigritudinous,black
1041,nigrine,black
1042,blackish,black
1043,blacky,black
1044,nigrescent,black
1045,bigresceous,black
1046,for black,black
1047,self black,black
1048,nigrous,black
1049,all black,black
1050,jet black,black
1051,jetty,black
1052,jetty black,black
1053,jettish,black
1054,jet,black
1055,coal black,black
1056,as black as coal,black
1057,coaly,black
1058,night black,black
1059,night dark,black
1060,ravenish,black
1061,raven black,black
1062,raven coloured,black
1063,raven,black
1064,inky,black
1065,sepian,black
1066,atramental,black
1067,atramentous,black
1068,chalcanthous,black
1069,atramentitious,black
1070,inkish,black
1071,atramentaceous,black
1072,atramentarious,black
1073,black as pitch,black
1074,pitchy,black
1075,pitch black,black
1076,pitch coloured,black
1077,pitchy black,black
1078,piceous,black
1079,picescent,black
1080,sooty,black
1081,fuliginated,black
1082,fuliginous,black
1083,pit black,black
1084,bible black,black
1085,fusco piceous,black
1086,brownish black,darkbrown
1087,brown black,darkbrown
1088,pukish,midnightblue
1089,blue black,midnightblue
1090,sloe black,midnightblue
1091,black rimmed,midnightblue
1092,blacked edged,midnightblue
1093,black bordered,midnightblue
1094,smutting,black
1095,blackening,black
1096,nigricanting,black
1097,forswarted,black
1098,bletchy,black
1099,blackened,black
1100,well blacked,black
1101,collied,black
1102,blacked,black
1103,lamp blacked,black
1104,corked,black
1105,burnt corked,black
1106,sootied,black
1107,fire swart,black
1108,charred,black
1109,blackleaded,black
1110,plumbagoed,black
1111,unblacked,black
1112,reod,red
1113,ruddy,red
1114,reddy,red
1115,redly,red
1116,gules,red
1117,red coloured,red
1118,guly,red
1119,blushing,red
1120,rubric,red
1121,nacarine,red
1122,minious,red
1123,rubriform,red
1124,carbuncly,red
1125,blushful,red
1126,envermeiled,red
1127,ablush,red
1128,flammulated,red
1129,rubrical,red
1130,redward,red
1131,rubicund,red
1132,ruddish,red
1133,ruddyish,red
1134,rutilous,red
1135,flushy,red
1136,rubescent,red
1137,rufescent,red
1138,rufulous,red
1139,rufous,darkred
1140,inred,red
1141,foxy,darkred
1142,angered,red
1143,puniceous,red
1144,vermeil,red
1145,punic,red
1146,orient,red
1147,wax red,red
1148,punical,red
1149,coralline,red
1150,scarleted,red
1151,coccineous,red
1152,cinnabrian,red
1153,poppy coloured,red
1154,miniaceous,red
1155,phoeniceous,red
1156,cherry coloured,red
1157,coral red,red
1158,cherried,red
1159,punicean,red
1160,cinnabar,red
1161,geraniumed,red
1162,miniatous,red
1163,vermilion coloured,red
1164,geranium coloured,red
1165,lobster red,red
1166,phoenicean,red
1167,cardinal,red
1168,scarlet vermilion,red
1169,canellia red,red
1170,miniate,red
1171,nasturtium red,red
1172,sealing wax red,red
1173,bloody,crimson
1174,purpurine,purple
1175,sanguine,crimson
1176,tuly,crimson
1177,murrey,crimson
1178,purpure,purple
1179,sanguinolent,crimson
1180,cramoisy,crimson
1181,ruby red,crimson
1182,sanguineous,crimson
1183,sanguine coloured,crimson
1184,blood coloured,crimson
1185,rubied,crimson
1186,incarnadine,crimson
1187,tyrian,crimson
1188,rubious,crimson
1189,murrey coloured,crimson
1190,haematine,crimson
1191,vinaceous,crimson
1192,claret coloured,crimson
1193,ensanguined,crimson
1194,peony,crimson
1195,sanguinaceous,crimson
1196,gory,crimson
1197,crimsony,crimson
1198,vinous,crimson
1199,laky,crimson
1200,grenat,crimson
1201,madder,crimson
1202,wine dark,crimson
1203,poppy crimson,crimson
1204,alizarin,crimson
1205,rusty,darkred
1206,hepatic,darkred
1207,horse flesh,darkred
1208,rubiginous,darkred
1209,iron,lightslategrey
1210,sand red,darkred
1211,ferruginous,darkred
1212,lateritious,darkred
1213,blood bay,darkred
1214,testaceous,firebrick
1215,rust coloured,darkred
1216,brick coloured,darkred
1217,rusted,darkred
1218,worm red,darkred
1219,rush,darkred
1220,brickdust like,darkred
1221,brickdusty,darkred
1222,chestnut red,darkred
1223,copper red,darkred
1224,bricky,darkred
1225,brickish,darkred
1226,fox red,darkred
1227,oxblood,darkred
1228,tony,darkred
1229,mahogany red,darkred
1230,roan,lightsalmon
1231,sherry red,lightsalmon
1232,port winey,lightsalmon
1233,fire red,orangered
1234,flame red,orangered
1235,flammid,orangered
1236,flammeous,orangered
1237,pimento,orangered
1238,pimiento,orangered
1239,flame,orangered
1240,rosen,pink
1241,rosy,pink
1242,roseate,pink
1243,roset,pink
1244,rosing,pink
1245,rose coloured,pink
1246,rose like,pink
1247,roseal,pink
1248,rosal,pink
1249,rosy fingered,pink
1250,red rose,pink
1251,damask,pink
1252,rosied,red
1253,damasked,pink
1254,roseac,pink
1255,rosaceous,pink
1256,rose tinted,pink
1257,blush rose,pink
1258,incarnate,pink
1259,fleshy,pink
1260,incarnation,pink
1261,pallet,pink
1262,bepurfurate,pink
1263,peachy,pink
1264,peach coloured,pink
1265,pink coloured,pink
1266,blush coloured,pink
1267,blushy,pink
1268,gridelin,plum
1269,carnationed,red
1270,carneous,pink
1271,peach blossom,pink
1272,flesh coloured,pink
1273,flesh colour,pink
1274,mushroom coloured,pink
1275,salmon coloured,pink
1276,blush tinted,pink
1277,flesh red,pink
1278,naturelle,pink
1279,flesh pink,pink
1280,lilac pink,pink
1281,nude,pink
1282,magnolia pink,pink
1283,salmony,pink
1284,magnolia,pink
1285,poppy pink,pink
1286,raspberry red,red
1287,pomegranate,red
1288,framboise,red
1289,crushed raspberry,red
1290,pink washed,red
1291,rubent,red
1292,reddening,red
1293,erubescent,red
1294,rubifying,red
1295,rubificative,red
1296,rubific,red
1297,red making,red
1298,rubified,red
1299,reddened,red
1300,empurpled,purple
1301,crimsoned,red
1302,ruddied,red
1303,incarnadined,red
1304,purpured,purple
1305,in grain,red
1306,purpled,purple
1307,engored,red
1308,encrimsoned,red
1309,vermeiled,red
1310,raddled,red
1311,ruddled,red
1312,vermilioned,red
1313,incrimsoned,red
1314,incarmined,red
1315,carmined,red
1316,rosed,red
1317,pinkified,red
1318,rubricate,red
1319,rubricated,red
1320,rubricked,red
1321,brazil,red
1322,pelagian,red
1323,verdant,green
1324,verdurant,green
1325,sinople,green
1326,vernant,green
1327,viricund,green
1328,virid,green
1329,virideous,green
1330,virent,green
1331,herbish,green
1332,watchet,lightblue
1333,willowish,green
1334,greeny,green
1335,viridescent,green
1336,greensome,green
1337,greenery,green
1338,smaragdine,mediumseagreen
1339,emeraldine,mediumseagreen
1340,twig green,mediumseagreen
1341,steel green,darkgreen
1342,corbeau,darkgreen
1343,rifle green,darkgreen
1344,spinach green,darkgreen
1345,malachite,darkgreen
1346,beryl,lightgreen
1347,water,cadetblue
1348,berylline,lightgreen
1349,chlorine,lightgreen
1350,peppermint,lightgreen
1351,reseda,lightgreen
1352,lily green,lightgreen
1353,pepperminty,lightgreen
1354,grassy,lawngreen
1355,prasine,mediumseagreen
1356,leeky,mediumseagreen
1357,leekish,mediumseagreen
1358,porraceous,mediumseagreen
1359,leek green,mediumseagreen
1360,gaudy green,yellowgreen
1361,gosling colour,yellowgreen
1362,gosling green,yellowgreen
1363,chrysoprase,yellowgreen
1364,tilleul,yellowgreen
1365,olive coloured,darkkhaki
1366,olivaceous,yellowgreen
1367,olive greenish,yellowgreen
1368,olivescent,yellowgreen
1369,glaucy,lightseagreen
1370,wave green,lightseagreen
1371,aeruginous,green
1372,glaucous,lightseagreen
1373,eruginary,lightseagreen
1374,verdazurine,lightseagreen
1375,caesious,lightseagreen
1376,verditer,turquoise
1377,verd asure,lightseagreen
1378,verdigrisy,lightseagreen
1379,glass,lightseagreen
1380,sage coloured,lightseagreen
1381,sage greeny,lightseagreen
1382,beech green,green
1383,viper green,green
1384,lettuce green,green
1385,kendal green,green
1386,lizard green,green
1387,greening,green
1388,virescent,green
1389,greenable,green
1390,chlorophyllous,green
1391,chlorophyllian,green
1392,chlorophyllaceous,green
1393,verdigris,green
1394,blayk,yellow
1395,jaune,yellow
1396,flaw,yellow
1397,jaundiced,yellow
1398,flaxed,yellow
1399,flave,yellow
1400,flavous,yellow
1401,blake,yellow
1402,gambogian,yellow
1403,saffronish,yellow
1404,jaunish,yellow
1405,sanded,yellow
1406,saffrony,yellow
1407,yellowy,yellow
1408,sallow,yellow
1409,sallowish,yellow
1410,flavescent,yellow
1411,sandyish,yellow
1412,flavicant,yellow
1413,chromy,yellow
1414,sunnish,yellow
1415,sunny,yellow
1416,buttercup,yellow
1417,nasturtium yellow,yellow
1418,topazine,gold
1419,topaz tinted,gold
1420,topas coloured,gold
1421,gull,lightyellow
1422,flaxen,
1423,palew,lightyellow
1424,straw coloured,lightyellow
1425,branlie,lightyellow
1426,straw colour,lightyellow
1427,flaxy,lightyellow
1428,festucine,lightyellow
1429,sulphureous,lightyellow
1430,flaxenish,lightyellow
1431,strawy,lightyellow
1432,straw yellow,lightyellow
1433,bomycinous,lightyellow
1434,sulphur coloured,lightyellow
1435,sherry yellow,lightyellow
1436,sulphur yellow,lightyellow
1437,bombasic,lightyellow
1438,wax coloured,lightyellow
1439,stramineous,lightyellow
1440,maize coloured,lightyellow
1441,daffodil,lightyellow
1442,daw,lightyellow
1443,flax,lightyellow
1444,sherry coloured,lightyellow
1445,mastic,lightyellow
1446,sulpho chromic,lightyellow
1447,ochroid,lightyellow
1448,wheat coloured,lightyellow
1449,sulphurous,lightyellow
1450,sulphury,lightyellow
1451,tea rose,lightyellow
1452,straw pale,lightyellow
1453,subcitrine,lightyellow
1454,citrine,lightyellow
1455,citron coloured,lightyellow
1456,primrose coloured,lightyellow
1457,lemon coloured,lightyellow
1458,primrose,lightyellow
1459,citron hued,lightyellow
1460,primrosy,lightyellow
1461,citron,lightyellow
1462,dory,gold
1463,goldish,gold
1464,goldly,gold
1465,aureate,gold
1466,goldy,gold
1467,gilden,gold
1468,scorn gold,gold
1469,pactolian,gold
1470,aureal,gold
1471,gilded,gold
1472,gold coloured,gold
1473,spun gold,gold
1474,aurulent,gold
1475,aurelian,gold
1476,deaurated,gold
1477,tuscan,gold
1478,corn coloured,gold
1479,aureoline,gold
1480,tuscan coloured,gold
1481,guinea gold,gold
1482,spun golden,gold
1483,brazen,gold
1484,brassy,gold
1485,aeneous,gold
1486,brass coloured,gold
1487,red yellow,peachpuff
1488,red gold,peachpuff
1489,saffron hued,peachpuff
1490,saffron coloured,peachpuff
1491,crocean,peachpuff
1492,croceal,peachpuff
1493,croceous,peachpuff
1494,croceate,peachpuff
1495,saffronic,peachpuff
1496,fallow,peachpuff
1497,favel,peachpuff
1498,fulvid,peachpuff
1499,fulve,peachpuff
1500,fulvous,peachpuff
1501,fallow coloured,peachpuff
1502,flavid,peachpuff
1503,fox coloured,peachpuff
1504,fulvescent,peachpuff
1505,meline,khaki
1506,gangrenous,khaki
1507,greenery yallery,khaki
1508,ochry,darkkhaki
1509,sand coloured,darkkhaki
1510,shammy,darkkhaki
1511,buff coloured,darkkhaki
1512,ochreish,darkkhaki
1513,ochreous,darkkhaki
1514,ochraceous,darkkhaki
1515,buff colour,darkkhaki
1516,buffish,darkkhaki
1517,mustard coloured,darkkhaki
1518,nankeen,darkkhaki
1519,buffy,darkkhaki
1520,ochre coloured,darkkhaki
1521,mustardy,darkkhaki
1522,ochrous,darkkhaki
1523,buff yellow,darkkhaki
1524,buff washed,darkkhaki
1525,sahara,goldenrod
1526,wheaten,darkkhaki
1527,pinkish yellow,papayawhip
1528,champagne,papayawhip
1529,greyish yellow,darkkhaki
1530,vitelline,lightsalmon
1531,luteous,lightsalmon
1532,orange buff,lightsalmon
1533,honey yellow,yellow
1534,gamboge,yellow
1535,honey gold,yellow
1536,lily yellow,yellow
1537,apple yellow,yellow
1538,butter coloured,yellow
1539,mimosa,yellow
1540,yellowing,yellow
1541,saffroned,yellow
1542,saffred,yellow
1543,yellowed,yellow
1544,xanthophyllic,yellow
1545,turner,yellow
1546,inde,blue
1547,blae,dodgerblue
1548,glawke,cadetblue
1549,blusih,blue
1550,azury,blue
1551,bluey,blue
1552,blue bleak,blue
1553,sapphirine,aqua
1554,sapphire hued,aqua
1555,sapphire coloured,aqua
1556,sapphiric,aqua
1557,sapphire blue,aqua
1558,pirate blue,aqua
1559,blue brilliant,aqua
1560,mazarine,
1561,cyaneous,
1562,poweder blue,
1563,smalt blue,
1564,lazuline,
1565,smalt,
1566,gentian,
1567,blewebis,darkblue
1568,sloe blue,darkblue
1569,oxford blue,darkblue
1570,coal blue,darkblue
1571,lead blue,darkblue
1572,azurine,lightblue
1573,watchet coloured,lightblue
1574,watercoloured,lightblue
1575,eton blue,lightblue
1576,opal blue,lightblue
1577,watchet hued,lightblue
1578,azured,blue
1579,sky colour,skyblue
1580,sky coloured,skyblue
1581,ceruleous,skyblue
1582,cerule,skyblue
1583,sky like,skyblue
1584,ceruleal,skyblue
1585,azurne,skyblue
1586,cerulous,skyblue
1587,lazure,skyblue
1588,skyey,skyblue
1589,azure blue,skyblue
1590,cerulescent,skyblue
1591,azurean,skyblue
1592,pavonaceous,turquoise
1593,peacock,turquoise
1594,plunket,cadetblue
1595,perse,cadetblue
1596,iron blue,cadetblue
1597,smoke blue,cadetblue
1598,gunpowder,cadetblue
1599,slaty blue,cadetblue
1600,silurian,cadetblue
1601,hyacinthine,mediumslateblue
1602,violaceous,mediumslateblue
1603,violacean,mediumslateblue
1604,lilac blue,mediumslateblue
1605,hyacinthian,mediumslateblue
1606,hyacinth,orangered
1607,metallic,steelblue
1608,chalybeous,steelblue
1609,wan,slategrey
1610,blo,dodgerblue
1611,haw,dodgerblue
1612,livid,dodgerblue
1613,lividous,dodgerblue
1614,blue in the face,dodgerblue
1615,swart,mediumblue
1616,mourning,blue
1617,beryl blue,blue
1618,wedgwood,blue
1619,scale blue,blue
1620,whale blue,blue
1621,ceruleated,blue
1622,sapphired,blue
1623,blue washed,blue
1624,cerulific,blue
1625,ultramarinish,blue
1626,indigotic,blue
1627,brown coloured,brown
1628,browny,brown
1629,brownish coloured,brown
1630,burnet,sienna
1631,fusk,sienna
1632,fusky,sienna
1633,chocolate coloured,sienna
1634,brunneous,sienna
1635,ustulate,sienna
1636,scorched,sienna
1637,fuscescent,sienna
1638,forest brown,sienna
1639,burnt coloured,sienna
1640,jacobean,sienna
1641,whited brown,burlywood
1642,whitey brown,burlywood
1643,coffee coloured,burlywood
1644,dust coloured,burlywood
1645,ochre brown,burlywood
1646,blonde,burlywood
1647,mousy,burlywood
1648,toast coloured,burlywood
1649,dun,peru
1650,dunned,peru
1651,dunny,peru
1652,dunnish,peru
1653,drab coloured,peru
1654,sorrel,firebrick
1655,berry brown,firebrick
1656,sored,firebrick
1657,russetish,firebrick
1658,chelidonian,firebrick
1659,weaselled coloured,firebrick
1660,deer coloured,firebrick
1661,spadiceous,firebrick
1662,russeted,firebrick
1663,russety,firebrick
1664,fusco testaceous,firebrick
1665,mahogany brown,firebrick
1666,persimmon,firebrick
1667,nut brown,firebrick
1668,chestnut coloured,firebrick
1669,hazeled,firebrick
1670,chestnut brown,firebrick
1671,castaneous,firebrick
1672,nutty brown,firebrick
1673,chestnutty,firebrick
1674,nutmeg,firebrick
1675,liver hued,firebrick
1676,liver coloured,firebrick
1677,liver,firebrick
1678,beveren,firebrick
1679,beaver hued,firebrick
1680,beaver coloured,firebrick
1681,musk colour,firebrick
1682,musk coloured,firebrick
1683,copper coloured,firebrick
1684,copperish,firebrick
1685,coppery,firebrick
1686,cupreous,firebrick
1687,copper brown,firebrick
1688,bayard,firebrick
1689,bay,firebrick
1690,bayed,firebrick
1691,bay coloured,firebrick
1692,bullace bay,firebrick
1693,bayish,firebrick
1694,bay brown,firebrick
1695,brown bay,firebrick
1696,honey coloured,goldenrod
1697,cinnamon coloured,goldenrod
1698,lurid,goldenrod
1699,rhubarb,goldenrod
1700,tomabac brown,goldenrod
1701,sherry bay,goldenrod
1702,khaki coloured,goldenrod
1703,rhubarby,goldenrod
1704,crotal,goldenrod
1705,brown gold,goldenrod
1706,safari,goldenrod
1707,mud coloured,dimgrey
1708,smoke brown,dimgrey
1709,mud colour,dimgrey
1710,lead brown,dimgrey
1711,bluish brown,rosybrown
1712,damson brown,rosybrown
1713,lavender brown,rosybrown
1714,bronzine,darkgoldenrod
1715,bronzy,darkgoldenrod
1716,bronze golden,darkgoldenrod
1717,wainscot,brown
1718,turd coloured,brown
1719,honey brown,brown
1720,snuff coloured,brown
1721,snuffy,brown
1722,moorit,brown
1723,umbery,brown
1724,sienna brown,brown
1725,oily brown,brown
1726,seal brown,brown
1727,tabac,brown
1728,glandaceous,brown
1729,cigar brown,brown
1730,bead brown,brown
1731,toffee brown,brown
1732,toffee,brown
1733,sludgy,brown
1734,browning,brown
1735,embrowning,brown
1736,umbered,brown
1737,well browned,brown
1738,embrowned,brown
1739,browned,brown
1740,adusted,brown
1741,sunburnt,brown
1742,staneraw,brown
1743,bistred,brown
1744,russeting,brown
1745,bronzing,brown
1746,bronzed,brown
1747,gris,grey
1748,grizzle,grey
1749,grison,grey
1750,kennet colour,grey
1751,grisy,grey
1752,grizzly,grey
1753,grisard,grey
1754,grysande,grey
1755,grizzlish,grey
1756,slaty,cadetblue
1757,peppery,grey
1758,sabelline,darkgrey
1759,shadow grey,darkgrey
1760,walnyed,lightgrey
1761,canvas,lightgrey
1762,hoar,gainsboro
1763,for hoar,gainsboro
1764,hoarsih,gainsboro
1765,hoary,gainsboro
1766,incanescent,gainsboro
1767,crane,dimgrey
1768,crane coloured,dimgrey
1769,crane feather,dimgrey
1770,ash colour,dimgrey
1771,subcineritious,dimgrey
1772,cinereous,dimgrey
1773,cinereal,dimgrey
1774,smoky,whitesmoke
1775,smoked,whitesmoke
1776,smoke,whitesmoke
1777,iron grey,lightslategrey
1778,steely,lightslategrey
1779,leaden,slategrey
1780,leasih,slategrey
1781,leady,slategrey
1782,plumby,slategrey
1783,plumbine,slategrey
1784,leaden coloured,slategrey
1785,lead coloured,slategrey
1786,plumbean,slategrey
1787,plumbeous,slategrey
1788,lead grey,slategrey
1789,leaden hued,slategrey
1790,quaker coloured,dimgrey
1791,prison grey,dimgrey
1792,flinty,dimgrey
1793,pearl coloured,seashell
1794,pearl shell,seashell
1795,pearl,seashell
1796,pearled,seashell
1797,pearl hued,seashell
1798,pearlish,seashell
1799,pewter,silver
1800,mouse coloured,darkkhaki
1801,mouse colour,darkkhaki
1802,mouse dun,darkkhaki
1803,putty coloured,darkkhaki
1804,beige coloured,darkkhaki
1805,greige,darkkhaki
1806,bice,dimgrey
1807,butter nut,dimgrey
1808,stone coloured,dimgrey
1809,ficelle coloured,dimgrey
1810,oatmeal,dimgrey
1811,moleskin coloured,dimgrey
1812,browny grey,dimgrey
1813,mole grey,dimgrey
1814,mole,dimgrey
1815,stony,dimgrey
1816,waterish,cadetblue
1817,blunket,cadetblue
1818,slate coloured,cadetblue
1819,griseous,cadetblue
1820,neutral,cadetblue
1821,schistous,cadetblue
1822,slatish,cadetblue
1823,comumbine,lavender
1824,columbe,lavender
1825,dove colour,lavender
1826,dove coloured,lavender
1827,lavender grey,lavender
1828,lilac grey,lavender
1829,dove,lavender
1830,pinko grey,lavender
1831,pearl grey,seashell
1832,elephant,grey
1833,desert grey,grey
1834,greying,grey
1835,purpurate,purple
1836,purple coloured,purple
1837,porphyrite,purple
1838,purpurean,purple
1839,blattean,purple
1840,purpureal,purple
1841,porphyrous,purple
1842,babylonian,purple
1843,jacinthinous,darkmagenta
1844,damson,darkmagenta
1845,lilac coloured,plum
1846,lilac tinted,plum
1847,lilaceous,plum
1848,lilacky,plum
1849,lilac purple,plum
1850,prune coloured,magenta
1851,prune dark,magenta
1852,puce coloured,maroon
1853,violet coloured,blueviolet
1854,ianthine,blueviolet
1855,amethystine,blueviolet
1856,pansy purple,blueviolet
1857,violety,blueviolet
1858,violescent,blueviolet
1859,violetish,blueviolet
1860,pansy coloured,blueviolet
1861,mulberry coloured,purple
1862,plum coloured,purple
1863,mauve colour,purple
1864,mauve coloured,purple
1865,amarantine,purple
1866,mauvish,purple
1867,pontifical,purple
1868,plummy,purple
1869,petunia,purple
1870,palatinate,purple
1871,empurpling,purple
1872,meliboean,purple
1873,oranged,orange
1874,orange coloured,orange
1875,orange tawny,orange
1876,orangey,orange
1877,flame coloured,tomato
1878,tangerine coloured,darkorange
1879,gingerish,moccasin
1880,hennaed,chocolate
1881,shadow,#1b2431
